DATA,GRUPO,TIPO,ETAPA,TOTAL_IMPRESSOES,TOTAL_CLIQUES,TOTAL_CUSTO,TOTAL_SESSAO,TOTAL_INSCRICOES,TOTAL_MATRICULADOS,LEADS,CTR,CR,CPS,TX_LEADS,TX_INSCRITOS,CPI,TX_MATRICULADOS,CPMAT,CPA
2025-02-01,META,META,TOPO,2337568,6312,9485.200001000001,987,0,0,1,0.00270024230311161,0.15636882129277566,9.610131713272544,0.0010131712259371835,0.0,,,,4.0577215298121815e-06
2025-02-01,SEARCH,MICROSOFT,FUNDO,68931,2780,10922.14,2286,72,6,349,0.04033018525772149,0.8223021582733813,4.777839020122484,0.15266841644794402,0.031496062992125984,151.6963888888889,0.08333333333333333,1820.3566666666666,25.94332541567696
2025-02-01,TIKTOK,TIKTOK,MEIO,248342,1415,897.0400000000002,509,0,0,0,0.005697787728213512,0.3597173144876325,1.762357563850688,0.0,0.0,,,,0.6339505300353359
2025-02-01,PMAX,PMAX,FUNDO,2159368,46619,95300.397599,23755,256,3,1177,0.021589187206627124,0.5095561895364551,4.011803729699011,0.049547463691854345,0.010776678593980215,372.26717812109376,0.01171875,31766.799199666668,66.50411556106071
2025-02-01,SEARCH,SEARCH,FUNDO,3522,156,757.2661879999998,152,3,0,15,0.044293015332197615,0.9743589743589743,4.982014394736841,0.09868421052631579,0.019736842105263157,252.42206266666662,0.0,,42.070343777777765
2025-02-01,SEARCH,DV360,TOPO,8640916,7847,34198.302415,284,0,0,0,0.0009081213149161501,0.036192175353638334,120.41655779929577,0.0,0.0,,,,3.957717262267102e-06
2025-02-01,SEARCH,SEARCH,MEIO,44465,3210,5385.799766,1884,5,0,37,0.07219161137973687,0.5869158878504673,2.8587047590233547,0.019639065817409766,0.002653927813163482,1077.1599532,0.0,,1.6778192417445483
2025-01-31,META,META,TOPO,3382757,9053,19312.880001999998,2390,0,0,0,0.0026762194269348938,0.2640008836849663,8.080702929707112,0.0,0.0,,,,5.709212929571943e-06
2025-01-31,DEMAND GEN,DEMAND GEN,MEIO,690851,17811,3032.402758,3922,1,0,9,0.025781246607445022,0.22020099938240414,0.7731776537480878,0.0022947475777664456,0.00025497195308516065,3032.402758,0.0,,0.17025449205547136
2025-01-31,SEARCH,MICROSOFT,MEIO,26267,220,41.09999999999999,92,0,0,0,0.008375528229337192,0.41818181818181815,0.44673913043478247,0.0,0.0,,,,0.18681818181818177
