,DATA,GRUPO,TIPO,ETAPA,TOTAL_IMPRESSOES,TOTAL_CLIQUES,TOTAL_CUSTO,TOTAL_SESSAO,TOTAL_INSCRICOES,TOTAL_MATRICULADOS,LEADS,CTR,CR,CPS,TX_LEADS,TX_INSCRITOS,CPI,TX_MATRICULADOS,CPMAT,CPA
366,2025-01-15,SEARCH,GENERICA,FUNDO,285942,12620,62980.316098,14666,293,21,1495,0.04413482454483776,1.1621236133122028,4.294307657029865,0.1019364516568935,0.0199781808264012,214.94988429351537,0.07167235494880546,2999.0626713333336,35.223890435123046
367,2025-01-15,META,META,FUNDO,78385723,313409,1000908.6300049999,121126,1314,13,5955,0.0039982918828215695,0.3864790098561305,8.263367320022125,0.04916368079520499,0.010848207651536417,761.7265068531202,0.00989345509893455,76992.97153884615,137.69550557229329
370,2025-01-15,SEARCH,OPORTUNIDADES,FUNDO,354741,17804,86533.063677,14879,279,5,1905,0.05018872924189761,0.83571107616266,5.815784910074601,0.1280327979030849,0.018751260165333693,310.1543500967742,0.017921146953405017,17306.6127354,39.621366152472525
371,2025-01-15,SEARCH,MICROSOFT,FUNDO,147902,6410,30104.57,6290,135,8,913,0.04333950859352815,0.9812792511700468,4.786100158982512,0.1451510333863275,0.021462639109697933,222.99681481481483,0.05925925925925926,3763.07125,28.725734732824428
372,2025-01-15,DEMAND GEN,DEMAND GEN,MEIO,78352960,2289105,196451.82710599998,669988,28,1,259,0.029215297035364074,0.2926855692508644,0.2932169338943384,0.0003865740878941115,4.17917932858499e-05,7016.1366823571425,0.03571428571428571,196451.82710599998,0.08582036521085751
373,2025-01-15,SEARCH,CURSOS,FUNDO,710703,41075,288506.49516100006,31194,612,61,2806,0.05779488759721008,0.7594400486914181,9.248781661890108,0.0899531961274604,0.019619157530294286,471.41584176633995,0.09967320261437909,4729.6146747704925,84.40798571123466
374,2025-01-14,DEMAND GEN,DEMAND GEN,FUNDO,7925481,93542,126283.48377600001,39281,141,1,784,0.01180269058748611,0.4199290158431507,3.2148744628700903,0.019958758687406125,0.003589521651689112,895.6275445106384,0.0070921985815602835,126283.48377600001,136.52268516324324
375,2025-01-14,SEARCH,CURSOS,FUNDO,578688,30805,220001.70182100002,25995,717,64,2992,0.053232484516699846,0.8438565167992209,8.463231460703982,0.11509905751105982,0.027582227351413732,306.83640421338913,0.08926080892608089,3437.5265909531254,59.31563812914533
376,2025-01-14,PMAX,PMAX,FUNDO,4903817,112075,530833.622521,72827,1209,7,6292,0.02285464567703077,0.6498059335266563,7.288967313235475,0.08639652875993793,0.01660098589808725,439.068339554177,0.005789909015715467,75833.37464585714,70.76838055205972
377,2025-01-14,SEARCH,MICROSOFT,FUNDO,264908,4503,23103.670000000006,5231,132,9,691,0.01699835414559017,1.1616699977792582,4.416683234563182,0.13209711336264576,0.025234180844962723,175.02780303030306,0.06818181818181818,2567.074444444445,28.07250303766708
379,2025-01-14,SEARCH,MICROSOFT,MEIO,12601938,80145,41417.329999999994,28402,13,3,79,0.006359736097733539,0.35438268138998064,1.4582539961974508,0.0027814942609675373,0.00045771424547567073,3185.9484615384613,0.23076923076923078,13805.776666666665,0.5167799613201073
380,2025-01-14,SEARCH,MARCAS,FUNDO,115140,44766,69731.547266,41592,1887,11,7888,0.3887962480458572,0.9290979761426083,1.6765615326505097,0.1896518561261781,0.04536930178880554,36.95365514891362,0.005829358770535241,6339.231569636363,7.133662124398977
383,2025-01-14,TIKTOK,TIKTOK,FUNDO,16302702,98079,92914.35999999999,77955,40,2,184,0.006016119291145725,0.7948184626678494,1.191897376691681,0.0023603360913347442,0.0005131165415945097,2322.8589999999995,0.05,46457.17999999999,414.79624999999993
384,2025-01-14,SEARCH,GENERICA,FUNDO,280234,12715,56498.16522,14199,344,27,1675,0.045372795592255044,1.1167125442390877,3.979024242552293,0.11796605394746108,0.02422705824353828,164.23885238372094,0.07848837209302326,2092.524637777778,27.983241812778605
386,2025-01-14,DEMAND GEN,DEMAND GEN,MEIO,69607776,1977377,194867.142937,655209,32,1,228,0.02840741528647604,0.3313525948769506,0.2974121889916042,0.0003479805680324904,4.8839377969472335e-05,6089.59821678125,0.03125,194867.142937,0.0985483005704021
387,2025-01-14,META,META,FUNDO,49778531,242830,806959.1800039998,101480,1559,10,6591,0.004878207434445986,0.4179055306181279,7.9519036263697265,0.06494875837603468,0.01536263303113914,517.6133290596536,0.006414368184733804,80695.91800039998,99.01339631950918
390,2025-01-14,META,META,MEIO,27257673,387532,201574.130003,209050,3,1,35,0.014217354504179429,0.5394393237203637,0.9642388423965559,0.00016742406122937097,1.435063381966037e-05,67191.37666766667,0.3333333333333333,201574.130003,0.5201483490473044
392,2025-01-14,SEARCH,OPORTUNIDADES,MEIO,620166,59940,95270.37769000001,13082,20,3,1781,0.09665154168400074,0.21825158491825158,7.282554478672987,0.1361412628038526,0.0015288182235132244,4763.5188845,0.15,31756.792563333336,1.5894290572238907
397,2025-01-14,SEARCH,OPORTUNIDADES,FUNDO,394345,17349,80434.96749000001,15325,379,4,2775,0.04399447184571885,0.8833362153438239,5.248611255464927,0.18107667210440456,0.02473083197389886,212.22946567282324,0.010554089709762533,20108.741872500003,25.50252615409005
399,2025-01-13,DEMAND GEN,DEMAND GEN,MEIO,65979680,1833336,188346.86655300003,606048,47,1,376,0.0277863730166621,0.3305711555328647,0.3107787940113655,0.0006204129045884154,7.755161307355193e-05,4007.3801394255324,0.02127659574468085,188346.86655300003,0.10273450505144721
400,2025-01-13,DEMAND GEN,DEMAND GEN,FUNDO,6545384,77556,99959.07830699999,28434,151,1,1020,0.011848961038802307,0.3666254061581309,3.5154771860097065,0.03587254695083351,0.0053105437152704505,661.980651039735,0.006622516556291391,99959.07830699999,85.36215056105891
401,2025-01-13,PMAX,PMAX,FUNDO,6254260,191686,608730.0273020001,108626,1658,7,9270,0.030648869730391767,0.566687186335987,5.603907234934547,0.08533868502936681,0.015263380774400235,367.14718172617614,0.004221954161640531,86961.4324717143,55.703699423682295
402,2025-01-13,META,META,TOPO,10062006,35752,48503.160001000004,5062,1,1,3,0.0035531682251034235,0.14158648467218618,9.581817463650731,0.0005926511260371395,0.00019755037534571315,48503.160001000004,1.0,48503.160001000004,4.820426463768756e-06
405,2025-01-13,SEARCH,SEARCH,FUNDO,110937,4046,32407.216576000003,3116,157,3,613,0.03647115029250836,0.7701433514582303,10.400262059050066,0.19672657252888318,0.05038510911424904,206.41539220382168,0.01910828025477707,10802.405525333334,42.087294254545455
407,2025-01-13,TIKTOK,TIKTOK,FUNDO,14482442,60546,91241.48999999999,50657,53,2,260,0.0041806485397973625,0.8366696396128563,1.8011625244290028,0.005132558185443275,0.001046252245494206,1721.5375471698112,0.03773584905660377,45620.744999999995,291.506357827476
